dataset,undersample,as_cv_step,fs_method,incl_filtered,estimator,feat_range,src,st,kappa,roc_auc
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_0,ncv_val,0.5833333333333333,0.6527777777777779
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_0,std,0.2256878344003866,0.1150515138168454
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_0,test,0.2473309608540925,0.6090909090909091
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_1,diff,-0.2612100979255158,-0.1396464646464646
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_1,mean,0.5085410587796084,0.7487373737373738
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_1,ncv_diff,-0.2559865575580583,-0.042121212121212
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_1,ncv_val,0.2977099236641222,0.7045454545454546
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_1,std,0.2256878344003866,0.1150515138168454
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_1,test,0.2473309608540925,0.6090909090909091
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_2,diff,-0.2123244390107871,-0.0557575757575756
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_2,mean,0.4596553998648797,0.7575757575757576
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_2,ncv_diff,0.0708662749820542,0.0203030303030302
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_2,ncv_val,0.555984555984556,0.7803030303030303
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_2,std,0.2315129937611903,0.1212121212121212
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_2,test,0.2473309608540925,0.7018181818181819
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_3,diff,-0.2612100979255158,-0.1396464646464646
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_3,mean,0.5085410587796084,0.7487373737373738
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_3,ncv_diff,-0.264797899066398,-0.1070819304152637
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_3,ncv_val,0.28125,0.6590909090909092
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_3,std,0.2256878344003866,0.1150515138168454
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_3,test,0.2473309608540925,0.6090909090909091
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_4,diff,-0.2028386803811723,-0.0669949494949495
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_4,mean,0.4541661140094909,0.7506313131313131
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_4,ncv_diff,0.3061132861728692,0.2089337822671155
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_4,ncv_val,0.7376425855513308,0.9242424242424242
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_4,std,0.1874057727938444,0.1227396775332875
abus,False,False,boruta_lightgbm,False,svm,3-15-1,ncv_4,test,0.2513274336283185,0.6836363636363636
abus,False,False,boruta_lightgbm,True,gbc,3-15-1,flat,diff,-0.3333647279390128,-0.1248989898989898
abus,False,False,boruta_lightgbm,True,gbc,3-15-1,flat,mean,0.6534370606695734,0.8467171717171716
abus,False,False,boruta_lightgbm,True,gbc,3-15-1,flat,std,0.2027800480881172,0.0439168931125961
